bin_centers,histogram_values
49.50810598,0.0002729776800259694
49.51806594,0.0008189330400784924
49.5280259,0.0013648884001298469
49.537985860000006,0.0013648884001308205
49.54794582,0.0027297768002596937
49.55790578,0.0008189330400784924
49.56786574,0.0016378660801558162
49.577825700000005,0.0013648884001308205
49.58778566,0.0013648884001298469
49.59774562,0.0019108437601831488
49.60770558,0.0010919107201038775
49.617665540000004,0.0010919107201046564
49.6276255,0.0010919107201038775
49.63758546,0.002456799120235477
49.64754542,0.0010919107201038775
49.65750538,0.0032757321603139695
49.66746534,0.0038216875203635715
49.6774253,0.004094665200389541
49.68738526,0.0032757321603139695
49.69734522,0.004913598240467449
49.707305180000006,0.004094665200392461
49.71726514,0.008189330400779082
49.7272251,0.007370397360706431
49.73718506,0.007643375040727143
49.747145020000005,0.010919107201046564
49.75710498,0.01310292864124653
49.76706494,0.016105683121543684
49.7770249,0.018562482241765918
49.786984860000004,0.028662656402747233
49.79694482,0.041492607363947345
49.806904779999996,0.041219629683950786
49.81686474,0.05241171456498612
49.8268247,0.06578762088630555
49.83678466,0.11164787113062148
49.84674462,0.14577008113386766
49.85670458,0.21920107706100977
49.86666454,0.2972726935482806
49.876624500000005,0.4070097209190107
49.88658446,0.6101051148580415
49.89654442,0.8132005087979429
49.90650438,1.2013747697942911
49.916464340000005,1.6154819103948392
49.9264243,2.283185315737208
49.93638426,3.1774601955045503
49.94634422,4.212045602800707
49.956304180000004,5.36646821163436
49.96626414,6.519252954380201
49.976224099999996,7.606250076249037
49.98618406,8.057755159006565
49.99614402,8.294153829909053
50.006103980000006,8.347384477520073
50.01606394,7.470034213910652
50.0260239,6.868391407138315
50.03598386,6.33035239980223
50.045943820000005,5.379844117955643
50.05590378,4.219143022481383
50.06586374,3.031963092050605
50.0758237,2.1243123059620936
50.085783660000004,1.5158450571852895
50.09574362,1.0343124296183979
50.10570358,0.7446831111113756
50.11566354,0.5394038957313155
50.1256235,0.39499870299785944
50.13558346,0.29181313994776126
50.145543419999996,0.17989229113724214
50.15550338,0.13894563913321842
50.16546334,0.09854494248937494
50.175423300000006,0.07288504056698582
50.18538326,0.058690201205583416
50.19534322,0.043403451124160095
50.20530318,0.03576007608340199
50.215263140000005,0.03139243320300887
50.2252231,0.028389678722700814
50.23518306,0.023749058162276276
50.24514302,0.019108437601817855
50.255102980000004,0.01392186168133437
50.26506294,0.013921861681324438
50.275022899999996,0.012011017921151222
50.28498286,0.00846230808080505
50.29494282,0.006005508960575611
50.30490278,0.0024567991202337244
50.314862739999995,0.0038216875203662976
50.3248227,0.0016378660801558162
50.33478266,0.0016378660801558162
50.344742620000005,0.002456799120235477
50.35470258,0.0027297768002596937
50.36466254,0.0010919107201046564
50.3746225,0.002183821440207755
50.384582460000004,0.002456799120235477
50.39454242,0.0019108437601817858
50.40450238,0.0002729776800261641
50.41446234,0.0019108437601817858
50.4244223,0.0008189330400784924
50.43438226,0.002183821440207755
50.444342219999996,0.0005459553600523282
50.45430218,0.0008189330400779081
50.46426214,0.0
50.4742221,0.0010919107201038775
50.484182059999995,0.0008189330400784924
50.49414202,0.0005459553600519388
