lag,autocorrelation
0,1.0
1,0.9894397375846793
2,0.9613086427303826
3,0.9168718461817961
4,0.857541373092787
5,0.7855796756489094
6,0.7025058131843941
7,0.6106986063542312
8,0.5121394415771782
9,0.409356899869122
10,0.3043626726022242
11,0.19943052744569034
12,0.09670149688984934
13,-0.0020605655466952562
14,-0.09478103204527798
15,-0.17961976345345632
16,-0.25545513427713545
17,-0.3209743235057344
18,-0.3756269552582012
19,-0.4191762852195936
20,-0.4511562084866309
21,-0.47168509338251907
22,-0.4811317427987291
23,-0.48008865012316204
24,-0.4693155186519775
25,-0.4497400069940766
26,-0.422383099986714
27,-0.3883694270541544
28,-0.34888454765823057
29,-0.3051771320346381
30,-0.2584794177123889
31,-0.20975456367881032
32,-0.16034070243532877
33,-0.11127892706299637
34,-0.06350048033895823
35,-0.01804588868464026
36,0.024660528245977847
37,0.06384184929269607
38,0.09934213587519379
39,0.13089301180863738
40,0.15834100537070808
41,0.18185062139910077
42,0.20119095348388333
43,0.2164519676336633
44,0.2278296675991138
45,0.2355647310587432
46,0.23997366541177514
47,0.24140501761609037
48,0.24025813721666925
49,0.23690622515438114
50,0.23171336405295567
51,0.22499729489587952
52,0.21705636932745448
53,0.20812844433918817
54,0.1984115892351032
55,0.18807669374130928
56,0.17726468111916163
57,0.1661001463743671
58,0.15469695577070308
59,0.14311164115309769
60,0.13138351464032216
61,0.11955013973854554
62,0.10765167290552548
63,0.09570090600042101
64,0.08371710130823959
65,0.07172075549607747
66,0.05974151866261417
67,0.04781700822081945
68,0.03603941179164644
69,0.02451384120233398
70,0.013378471773821829
71,0.0027545868929538665
72,-0.007201959129515518
73,-0.016340590555169537
74,-0.024752530117486696
75,-0.03210760791608682
76,-0.03825274009563074
77,-0.04305056416611637
78,-0.04635114278466399
79,-0.04804007991129503
80,-0.04778485892525854
81,-0.04576003744323075
82,-0.041727400420696
83,-0.03604031932801787
84,-0.028821900640933058
85,-0.020275986216002878
86,-0.010605772059690807
87,-6.957762191383861e-05
88,0.010848749883534962
89,0.022129247784845155
90,0.03346364830126968
91,0.04454306715044375
92,0.0550668089143607
93,0.06473579702190282
94,0.07328729199290163
95,0.08048251315565066
96,0.08612570498377096
97,0.09005988230575644
98,0.09219996363913113
99,0.09253793533885321
100,0.09111704167318074
101,0.08803983641528632
102,0.08348063133594957
103,0.07765818108198504
104,0.07083687635244044
105,0.06330099311385413
106,0.055348532165565914
107,0.047278387967190666
108,0.03939316652620701
109,0.03196941197233973
110,0.02501164021805466
111,0.018955853597141647
112,0.01402390522582307
113,0.01036989948100535
114,0.008352268104052315
115,0.0077866505329582504
116,0.008660234328895563
117,0.010900336584301238
118,0.014603635487185502
119,0.01930621501356749
120,0.02479962252018632
121,0.030846664648989622
122,0.03696587135932629
123,0.04322455159902187
124,0.04941993215334242
125,0.05535624572493909
126,0.0608510995609705
127,0.06573802826137222
128,0.06989507128811513
129,0.07321428705755259
130,0.07563099736551737
131,0.07709060790057491
132,0.07759077932193795
133,0.07713399351445986
134,0.07581259650147597
135,0.07372741106060483
136,0.07104041532413993
137,0.0678972162134308
138,0.06446334335998083
139,0.06087436959008204
140,0.05726609425449451
141,0.05373943042169106
142,0.05040139554257625
